Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
204,Ed Davis\davised01,UTA,4767000.00 $,5005350.00 $,,,,,Room Exception,9772350.00 $
205,Richaun Holmes\holmeri01,SAC,4767000.00 $,5005350.00 $,,,,,Room Exception,9772350.00 $
206,Frank Kaminsky\kaminfr01,PHO,4767000.00 $,5005350.00 $,,,,,Room Exception,9772350.00 $
207,Mike Scott\scottmi01,PHI,4767000.00 $,5005350.00 $,,,,,Room Exception,9772350.00 $
208,Avery Bradley\bradlav01,LAL,4767000.00 $,5005350.00 $,,,,,Room Exception,9772350.00 $
209,Robin Lopez\lopezro01,MIL,4767000.00 $,5005350.00 $,,,,,Room Exception,4767000.00 $
210,JaMychal Green\greenja01,LAC,4767000.00 $,5005350.00 $,,,,,Room Exception,4767000.00 $
211,Justin Holiday\holidju01,IND,4767000.00 $,,,,,,Room Exception,4767000.00 $
212,Garrett Temple\templga01,BRK,4767000.00 $,5005350.00 $,,,,,Room Exception,4767000.00 $
213,Enes Kanter\kanteen01,BOS,4767000.00 $,5005350.00 $,,,,,Room Exception,4767000.00 $
214,Collin Sexton\sextoco01,CLE,4764960.00 $,4991880.00 $,6349671.00 $,,,,1st Round Pick,9756840.00 $
215,Rodney McGruder\mcgruro01,LAC,4629630.00 $,5000000.00 $,5370370.00 $,,,,Cap Space,15000000.00 $
216,Rui Hachimura\hachiru01,WAS,4469160.00 $,4692840.00 $,4916160.00 $,6263188.00 $,,,1st Round Pick,9162000.00 $
217,Kevon Looney\looneke01,GSW,4464286.00 $,4821429.00 $,5178572.00 $,,,,Bird Rights,9285715.00 $
218,Dennis Smith\smithde03,NYK,4463640.00 $,5686677.00 $,,,,,1st Round Pick,10150317.00 $
219,Jamal Murray\murraja01,DEN,4444746.00 $,29250000.00 $,31590000.00 $,33930000.00 $,36270000.00 $,38610000.00 $,1st Round pick,174094746.00 $
220,Kevin Knox\knoxke01,NYK,4380120.00 $,4588680.00 $,5845978.00 $,,,,1st Round Pick,8968800.00 $
221,Cam Reddish\reddica01,ATL,4245720.00 $,4458000.00 $,4670160.00 $,5954454.00 $,,,1st Round Pick,8703720.00 $
222,Zach Collins\colliza01,POR,4240200.00 $,5406255.00 $,,,,,1st Round Pick,9646455.00 $
223,Mikal Bridges\bridgmi01,PHO,4161000.00 $,4359000.00 $,5557725.00 $,,,,1st Round Pick,8520000.00 $
224,Alex Len\lenal01,SAC,4160000.00 $,,,,,,Room Exception,4160000.00 $
225,Cameron Johnson\johnsca02,PHO,4033440.00 $,4235160.00 $,4437000.00 $,5887899.00 $,,,1st Round Pick,8268600.00 $
226,Malik Monk\monkma01,CHO,4028400.00 $,5345687.00 $,,,,,1st Round Pick,9374087.00 $
227,Dorian Finney-Smith\finnedo01,DAL,4000000.00 $,4000000.00 $,4000000.00 $,,,,Bird Rights,12000000.00 $
228,JaVale McGee\mcgeeja01,LAL,4000000.00 $,4200000.00 $,,,,,Cap Space,8200000.00 $
229,Patrick McCaw\mccawpa01,TOR,4000000.00 $,4000000.00 $,,,,,MLE,8000000.00 $
230,Reggie Bullock\bullore01,NYK,4000000.00 $,4200000.00 $,,,,,Room Exception,5000000.00 $
231,Shai Gilgeous-Alexander\gilgesh01,OKC,3952920.00 $,4141320.00 $,5495532.00 $,,,,1st Round Pick,8094240.00 $
232,Nicolò Melli\mellini01,NOP,3902439.00 $,4097561.00 $,,,,,Room Exception,8000000.00 $
