date, pm25, pm10, o3
2021/11/14, 32, , 
2021/11/15, 8, , 
2021/11/16, 10, , 
2021/11/17, 27, , 
2021/11/18, 31, , 
2021/11/19, 51, , 
2021/11/20, 17, , 
2021/11/21, 37, , 
2021/11/22, 64, , 
2021/11/23, 45, , 
2021/11/24, 19, , 
2021/11/25, 43, , 
2021/11/26, 31, , 
2021/11/27, 16, , 
2021/11/28, 19, , 
2021/11/29, 10, , 
2021/11/30, 17, , 
2021/12/1, 18, , 
2021/12/2, 37, , 
2021/12/3, 15, , 
2021/12/4, 48, , 
2021/12/5, 31, , 
2021/12/6, 29, , 
2021/12/7, 28, , 
2021/12/8, 22, , 
2021/12/9, 12, , 
2021/12/10, 18, , 
2021/12/11, 12, , 
2021/12/12, 10, , 
2021/12/13, 7, , 
2021/12/14, 8, , 
2021/12/15, 12, , 
2021/12/16, 10, , 
2021/12/17, 13, , 
2021/12/18, 35, , 
2021/12/19, 9, , 
2021/12/20, 21, , 
2021/12/21, 27, , 
2021/12/22, 30, , 
2021/12/23, 11, , 
2021/12/24, 8, , 
2021/12/25, 7, , 
2021/12/26, 9, , 
2021/12/27, 9, , 
2021/12/28, 14, , 
2021/12/29, 18, , 
2021/12/30, 38, , 
2021/12/31, 18, , 
2022/1/1, 23, , 
2022/1/2, 55, , 
2022/1/3, 25, , 
2021/7/2, 19, , 30
2021/7/3, 33, , 33
2021/7/4, 41, , 28
2021/7/5, 31, , 33
2021/7/6, 19, , 31
2021/7/7, 20, , 21
2021/7/8, 12, , 24
2021/7/9, 19, , 29
2021/7/10, 19, , 28
2021/7/11, 21, , 30
2021/7/12, 18, , 25
2021/7/13, 18, , 28
2021/7/14, 24, , 25
2021/7/15, 28, , 24
2021/7/16, 16, , 21
2021/7/17, 15, , 22
2021/7/18, 12, , 24
2021/7/19, 13, , 24
2021/7/20, 12, , 19
2021/7/21, 21, , 21
2021/7/22, 18, , 24
2021/7/23, 11, , 30
2021/7/24, 15, , 28
2021/7/25, 18, , 23
2021/7/26, 18, , 26
2021/7/27, 16, , 29
2021/7/28, 18, , 34
2021/7/29, 27, , 46
2021/7/30, 28, , 48
2021/7/31, 32, , 24
2021/8/1, 23, , 35
2021/8/2, 23, , 35
2021/8/3, 34, , 34
2021/8/4, 41, , 44
2021/8/5, 30, , 14
2021/8/6, 10, , 14
2021/8/7, 7, , 14
2021/8/8, 8, , 27
2021/8/9, 17, , 29
2021/8/10, 18, , 34
2021/8/11, 21, , 42
2021/8/12, 24, , 50
2021/8/13, 43, , 40
2021/8/14, 43, , 38
2021/8/15, 38, , 29
2021/8/16, 24, , 20
2021/8/17, 23, , 24
2021/8/18, 17, , 25
2021/8/19, 29, , 23
2021/8/20, 26, , 20
2021/8/21, 11, , 20
2021/8/22, 9, , 29
2021/8/23, 20, , 28
2021/8/24, 31, , 38
2021/8/25, 36, , 31
2021/8/26, 27, , 20
2021/8/27, 12, , 30
2021/8/28, 15, , 38
2021/8/29, 36, , 36
2021/8/30, 23, , 30
2021/8/31, 19, , 32
2021/9/1, 14, , 33
2021/9/2, 23, , 34
2021/9/3, 32, , 36
2021/9/4, 34, , 35
2021/9/5, 46, , 22
2021/9/6, 14, , 39
2021/9/7, 16, , 35
2021/9/8, 42, , 43
2021/9/9, 30, , 25
2021/9/10, 16, , 22
2021/9/11, 10, , 32
2021/9/12, 16, , 24
2021/9/13, 16, , 29
2021/9/14, 17, , 30
2021/9/15, 19, , 27
2021/9/16, 12, , 27
2021/9/17, 20, , 28
2021/9/18, 40, , 34
2021/9/19, 9, , 24
2021/9/20, 12, , 26
2021/9/21, 22, , 28
2021/9/22, 21, , 24
2021/9/23, 23, , 22
2021/9/24, 18, , 36
2021/9/25, 29, , 32
2021/9/26, 28, , 27
2021/9/27, 14, , 24
2021/9/28, 9, , 21
2021/9/29, 13, , 25
2021/9/30, 14, , 11
2021/10/1, 25, , 21
2021/4/2, 35, , 
2021/4/3, 31, , 
2021/4/4, 40, , 
2021/4/5, 23, , 
2021/4/6, 20, , 
2021/4/7, 28, , 
2021/4/8, 19, , 
2021/4/9, 11, , 
2021/4/10, 17, , 
2021/4/11, 14, , 
2021/4/12, 22, , 
2021/4/13, 18, , 
2021/4/14, 16, , 
2021/4/15, 24, , 
2021/4/16, 26, , 
2021/4/17, 21, , 
2021/4/18, 24, , 
2021/4/19, 23, , 
2021/4/20, 21, , 
2021/4/21, 18, , 
2021/4/22, 27, , 
2021/4/23, 24, , 
2021/4/24, 25, , 
2021/4/25, 16, , 
2021/4/26, 13, , 
2021/4/27, 10, , 
2021/4/28, 19, , 
2021/4/29, 22, , 
2021/4/30, 22, , 20
2021/5/1, 11, , 26
2021/5/2, 10, , 30
2021/5/3, 10, , 26
2021/5/4, 12, , 34
2021/5/5, 12, , 32
2021/5/6, 27, , 34
2021/5/7, 14, , 29
2021/5/8, 12, , 32
2021/5/9, 15, , 29
2021/5/10, 13, , 32
2021/5/11, 15, , 40
2021/5/12, 17, , 38
2021/5/13, 19, , 36
2021/5/14, 14, , 31
2021/5/15, 15, , 33
2021/5/16, 19, , 37
2021/5/17, 18, , 25
2021/5/18, 9, , 31
2021/5/19, 12, , 30
2021/5/20, 11, , 28
2021/5/21, 14, , 28
2021/5/22, 23, , 31
2021/5/23, 22, , 26
2021/5/24, 13, , 18
2021/5/25, 12, , 26
2021/5/26, 10, , 32
2021/5/27, 13, , 29
2021/5/28, 10, , 29
2021/5/29, 12, , 
2021/5/30, 17, , 39
2021/5/31, 17, , 42
2021/6/1, 20, , 44
2021/6/2, 24, , 33
2021/6/3, 18, , 22
2021/6/4, 10, , 35
2021/6/5, 10, , 30
2021/6/6, 9, , 28
2021/6/7, 14, , 27
2021/6/8, 12, , 25
2021/6/9, 10, , 26
2021/6/10, 11, , 26
2021/6/11, 9, , 18
2021/6/12, 11, , 26
2021/6/13, 14, , 21
2021/6/14, 9, , 24
2021/6/15, 11, , 20
2021/6/16, 12, , 32
2021/6/17, 13, , 35
2021/6/18, 15, , 26
2021/6/19, 13, , 32
2021/6/20, 14, , 31
2021/6/21, 18, , 41
2021/6/22, 27, , 24
2021/6/23, 15, , 21
2021/6/24, 10, , 28
2021/6/25, 15, , 37
2021/6/26, 23, , 44
2021/6/27, 38, , 43
2021/6/28, 45, , 37
2021/6/29, 40, , 25
2021/6/30, 30, , 15
2021/7/1, 35, , 21
2021/1/5, 11, , 
2021/1/6, 13, , 
2021/1/7, 15, , 
2021/1/8, 28, , 
2021/1/9, 27, , 
2021/1/10, 44, , 
2021/1/11, 50, , 
2021/1/12, 21, , 
2021/1/13, 6, , 
2021/1/14, 21, , 
2021/1/15, 37, , 
2021/1/16, 46, , 
2021/1/17, 35, , 
2021/1/18, 41, , 
2021/1/19, 38, , 
2021/1/20, 41, , 
2021/1/21, 56, , 
2021/1/22, 64, , 
2021/1/23, 26, , 
2021/1/24, 48, , 
2021/1/25, 26, , 
2021/1/26, 16, , 
2021/1/27, 32, , 
2021/1/28, 36, , 
2021/1/29, 18, , 
2021/1/30, 23, , 
2021/1/31, 9, , 
2021/2/1, 15, , 
2021/2/2, 17, , 
2021/2/3, 7, , 
2021/2/4, 10, , 
2021/2/5, 17, , 
2021/2/6, 11, , 
2021/2/7, 11, , 
2021/2/8, 11, , 
2021/2/9, 21, , 
2021/2/10, 38, , 
2021/2/11, 57, , 
2021/2/12, 32, , 
2021/2/13, 17, , 
2021/2/16, 19, , 
2021/2/17, 15, , 
2021/2/18, 35, , 
2021/2/19, 52, , 
2021/2/20, 12, , 
2021/2/21, 20, , 
2021/2/22, 11, , 
2021/2/23, 9, , 
2021/2/24, 16, , 
2021/2/25, 32, , 
2021/2/26, 23, , 
2021/2/27, 17, , 
2021/2/28, 23, , 
2021/3/1, 29, , 
2021/3/2, 60, , 
2021/3/3, 54, , 
2021/3/4, 70, , 
2021/3/5, 45, , 
2021/3/6, 38, , 
2021/3/7, 13, , 
2021/3/8, 18, , 
2021/3/9, 26, , 
2021/3/10, 12, , 
2021/3/11, 21, , 
2021/3/12, 33, , 
2021/3/13, 54, , 
2021/3/14, 48, , 
2021/3/15, 18, , 
2021/3/16, 16, , 
2021/3/17, 41, , 
