master_item_id,item_id,itemname,id,log_index,quantity,latitude,longitude,altitude,description,radius,manual_upload,project_id,project_name,timestamp,location,state,country,,,
1,2930,Plastic bag (Sac plastique),886186,25652,10,43.64676285,-1.445112109,6.53498745,,4.763815403,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886187,25652,5,43.64677048,-1.445117235,6.408600807,,4.766243935,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886196,25652,1,43.64674759,-1.445128679,6.360504627,,4.748979568,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886222,25652,1,43.64654922,-1.445190787,6.590323448,,4.776290894,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886246,25652,1,43.64630508,-1.445239186,7.50945282,,4.756021976,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886247,25652,1,43.6463089,-1.445239782,7.689648151,,4.755027771,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886298,25652,1,43.64543152,-1.445659518,5.337402821,,4.761037827,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886310,25652,1,43.64522552,-1.44573772,5.538941383,,4.76391983,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886322,25652,3,43.6451683,-1.445726991,5.163910866,,4.74774313,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886867,25658,4,43.64355469,-1.440688014,5.329652309,,3301,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),886868,25658,1,43.64355469,-1.440688014,5.329652309,,3301,0,,,2.02012E+13,Capbreton, Landes, France,,,
1,2930,Plastic bag (Sac plastique),923729,26472,3,43.25807571,-0.700964272,0,,2335,0,,,2.02102E+13,Aren, Pyrénées-Atlantiques, France,,,
1,2930,Plastic bag (Sac plastique),951143,27031,1,43.8108914,5.8238907,426.9362833,,11.75,0,,,2.02103E+13,Forcalquier, Provence-Alpes-Côte d'Azur, France,,,
1,2930,Plastic bag (Sac plastique),951260,27046,1,43.8142971,5.8261129,405.3248531,,3.900000095,0,,,2.02103E+13,Forcalquier, Provence-Alpes-Côte d'Azur, France,,,
1,2930,Plastic bag (Sac plastique),956034,27143,1,43.9696511,5.5746913,435.2600122,,3400,0,,,2.02103E+13,Forcalquier, Provence-Alpes-Côte d'Azur, France,,,
1,2930,Plastic bag (Sac plastique),974024,27716,80,46.50653874,-1.794526577,,,-1,1,,,2.02103E+13,,,,,,
1,2930,Plastic bag (Sac plastique),974025,27716,80,46.50653874,-1.794526577,,,-1,1,,,2.02103E+13,,,,,,
1,2930,Plastic bag (Sac plastique),974026,27716,80,46.50653874,-1.794526577,,,-1,1,,,2.02103E+13,,,,,,
1,2930,Plastic bag (Sac plastique),1493427,37259,1,52.10249533,4.263608054,8.434754117,,4.000604137,0,179,Default,2.02104E+13,The Hague, South Holland, The Netherlands,,,
1,2930,Plastic bag (Sac plastique),1493431,37259,1,52.10256812,4.263640344,-0.867741662,,8.001208274,0,179,Default,2.02104E+13,The Hague, South Holland, The Netherlands,,,
1,2930,Plastic bag (Sac plastique),1504446,37584,1,45.024726,-0.8186949,94.90364158,,12.44400024,0,179,Default,2.02104E+13,Castelnau-de-Médoc, Gironde, France,,,
1,2930,Plastic bag (Sac plastique),1512580,37788,1,43.64410242,-1.446252356,3.065679692,,4.775600099,0,179,Default,2.02104E+13,District of Dax, New Aquitaine, France,,,
1,2930,Plastic bag (Sac plastique),1512595,37788,2,43.64408519,-1.446268585,2.799514472,,4.786659797,0,179,Default,2.02104E+13,District of Dax, New Aquitaine, France,,,
1,2930,Plastic bag (Sac plastique),1512614,37788,5,43.64404684,-1.445978865,6.540602941,,4.803695984,0,179,Default,2.02104E+13,District of Dax, New Aquitaine, France,,,
1,2930,Plastic bag (Sac plastique),1582973,40437,1,43.7322049,5.9514388,399.8527309,,4.869999886,0,179,Default,2.02105E+13,Esparron-de-Verdon, Provence-Alpes-Côte d'Azur, France,,,
1,2930,Plastic bag (Sac plastique),1582974,40437,1,43.7322049,5.9514388,399.8527309,,4.869999886,0,179,Default,2.02105E+13,Esparron-de-Verdon, Provence-Alpes-Côte d'Azur, France,,,
1,2930,Plastic bag (Sac plastique),1587429,40576,1,43.9635634,5.8660722,448.0426021,,11.10000038,0,179,Default,2.02105E+13,Forcalquier, Provence-Alpes-Côte d'Azur, France,,,
1,2930,Plastic bag (Sac plastique),1587430,40576,1,43.9635634,5.8660722,448.0426021,,11.10000038,0,179,Default,2.02105E+13,Forcalquier, Provence-Alpes-Côte d'Azur, France,,,
1,2930,Plastic bag (Sac plastique),1587431,40576,1,43.9635578,5.8660664,454.5755136,,11.08300018,0,179,Default,2.02105E+13,Forcalquier, Provence-Alpes-Côte d'Azur, France,,,
1,2930,Plastic bag (Sac plastique),1587432,40576,1,43.9635554,5.8660632,451.5131251,,10.91600037,0,179,Default,2.02105E+13,Forcalquier, Provence-Alpes-Côte d'Azur, France,,,
1,2930,Plastic bag (Sac plastique),1612916,41400,1,50.41773545,-5.097617229,13.89698412,,4.739578873,0,179,Default,2.02106E+13,England, United Kingdom,,,,
1,2930,Plastic bag (Sac plastique),1641830,42137,5,50.41708163,-5.098249748,15.60985424,,5.161325289,0,179,Default,2.02107E+13,England, United Kingdom,,,,
1,2930,Plastic bag (Sac plastique),1642491,42164,1,50.41063878,-5.095921028,40.29183578,,10,0,179,Default,2.02107E+13,England, United Kingdom,,,,
1,2930,Plastic bag (Sac plastique),1649817,42354,2,50.41422831,-5.083818361,25.7823409,,5.794926096,0,179,Default,2.02107E+13,England, United Kingdom,,,,
1,2930,Plastic bag (Sac plastique),1651341,42389,3,50.41522526,-5.083050078,3.670971518,,4.819662746,0,179,Default,2.02107E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1651366,42389,3,50.41525508,-5.083042328,2.556849551,,4.79624201,0,179,Default,2.02107E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1651391,42389,2,50.415129,-5.082649609,13.67574762,,4.880287251,0,179,Default,2.02107E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1651429,42389,1,50.41500296,-5.084759242,6.669357643,,4.761155591,0,179,Default,2.02107E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1651431,42389,1,50.41500588,-5.08475553,6.693459114,,4.763399592,0,179,Default,2.02107E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1651432,42389,1,50.41500414,-5.084758711,6.589275973,,4.752540137,0,179,Default,2.02107E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1663743,42719,3,50.41511469,-5.085018478,4.471713621,,4.774254506,0,179,Default,2.02107E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1673645,43049,5,50.417616,-5.0884055,80.73126164,,85.74099731,0,179,Default,2.02108E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1695365,43667,5,39.51723032,2.536202971,3.714951048,,4.806229691,0,179,Default,2.02108E+13,Calvià, Balearic Islands, Spain,,,
1,2930,Plastic bag (Sac plastique),1711583,44157,1,50.41619288,-5.099231796,8.530525212,,5,0,,,2.02109E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1711587,44158,1,50.4180666,-5.097988104,8.424793233,,4.831007979,0,,,2.02109E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1711590,44158,1,50.4180342,-5.098008631,7.747637928,,4.75313943,0,,,2.02109E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1711606,44158,3,50.41742115,-5.098590321,7.031378724,,4.7086816,0,,,2.02109E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1711618,44158,2,50.41718879,-5.098740819,7.586080904,,4.750080922,0,,,2.02109E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1711656,44158,1,50.41809162,-5.09803344,6.365979976,,4.74632803,0,,,2.02109E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1733347,44514,3,50.4150148,-5.0846959,7.074501391,,5,0,179,Default,2.02109E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1790191,45885,2,50.41494472,-5.084627162,7.404778939,,5.402098006,0,179,Default,2.0211E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1844167,46919,48,43.52778534,3.933422389,2.318691254,,5,0,179,Default,2.02111E+13,Palavas-les-Flots, Hérault, France,,,
1,2930,Plastic bag (Sac plastique),1844178,46919,2,43.52779042,3.933427753,2.674770355,,5,0,179,Default,2.02111E+13,Palavas-les-Flots, Hérault, France,,,
1,2930,Plastic bag (Sac plastique),1844189,46919,10,43.52779725,3.933396824,1.437587738,,5,0,179,Default,2.02111E+13,Palavas-les-Flots, Hérault, France,,,
1,2930,Plastic bag (Sac plastique),1844193,46919,12,43.52779741,3.933395399,1.857509613,,5,0,179,Default,2.02111E+13,Palavas-les-Flots, Hérault, France,,,
1,2930,Plastic bag (Sac plastique),1844194,46919,4,43.52779741,3.933395399,1.845058441,,5,0,179,Default,2.02111E+13,Palavas-les-Flots, Hérault, France,,,
1,2930,Plastic bag (Sac plastique),1844206,46919,1,43.52779062,3.933388107,1.909694672,,5,0,179,Default,2.02111E+13,Palavas-les-Flots, Hérault, France,,,
1,2930,Plastic bag (Sac plastique),1844233,46919,2,43.52781581,3.933404619,1.222743988,,5,0,179,Default,2.02111E+13,Palavas-les-Flots, Hérault, France,,,
1,2930,Plastic bag (Sac plastique),1859527,47447,1,48.4941391,-2.6906914,68.30000305,,14.51299953,0,,,2.02112E+13,Côtes-d'Armor, Brittany, France,,,
1,2930,Plastic bag (Sac plastique),1864927,47572,3,43.03202335,3.069207268,-2.163800704,,5,0,,,2.02112E+13,Aude, Occitania, France,,,
1,2930,Plastic bag (Sac plastique),1880253,48120,1,50.41495353,-5.083382456,9.076491874,,5,0,179,Default,2.02109E+13,Cornwall, England, United Kingdom,,,
1,2930,Plastic bag (Sac plastique),1884996,48332,1,50.22977801,-5.390068919,11.4301606,,4.605643476,0,,,2.02202E+13,Cornwall, England, United Kingdom,,,
